city_name,state_abbr,fips_full,fips_state,fips_county,fips_tract,fdi_score,poverty_rate,median_income,pct_black,pct_no_internet,vacancy_rate,total_population,imputed_flag,dim_poverty,dim_income,dim_pct_black,dim_no_internet,dim_vacancy,dim_health_prox
Jackson,MS,28049000100,28,049,000100,27.91,8.054711246200608,68869.0,62.1580547112462,4.133635334088336,10.491637100861633,4606,False,0.08054711246200608,0.745396109481031,0.621580547112462,0.041336353340883356,0.10491637100861632,0.08054711246200608
Jackson,MS,28049000200,28,049,000200,20.12,1.6158648549394052,105682.0,43.83033419023136,6.947162426614481,7.301587301587302,5446,False,0.016158648549394052,0.5939029057493591,0.4383033419023136,0.06947162426614481,0.07301587301587302,0.016158648549394052
Jackson,MS,28049000301,28,049,000301,39.43,22.643391521197007,36685.0,86.58354114713217,7.305034550839092,9.634255129348796,2005,False,0.22643391521197007,0.8778400088888523,0.8658354114713217,0.07305034550839092,0.09634255129348795,0.22643391521197007
Jackson,MS,28049000302,28,049,000302,43.72,30.259017187121763,38361.0,94.21407907425265,8.907641819034225,11.567164179104477,4148,False,0.3025901718712176,0.8709429179303789,0.9421407907425265,0.08907641819034225,0.11567164179104478,0.3025901718712176
Jackson,MS,28049000400,28,049,000400,31.51,23.44451571520205,72328.0,58.19334389857369,2.218430034129693,8.651597817614965,3155,False,0.23444515715202052,0.731161600158024,0.5819334389857369,0.02218430034129693,0.08651597817614964,0.23444515715202052
Jackson,MS,28049000500,28,049,000500,44.87,28.863826232247288,31210.0,96.9298245614035,7.086999022482894,17.433414043583532,4788,False,0.28863826232247286,0.900370780367159,0.9692982456140351,0.07086999022482894,0.1743341404358353,0.28863826232247286
Jackson,MS,28049000600,28,049,000600,45.66,24.61588754494933,37109.0,92.18698921216084,24.355971896955502,20.582765034097957,3059,False,0.2461588754494933,0.8760951601022218,0.9218698921216084,0.24355971896955503,0.20582765034097958,0.2461588754494933
Jackson,MS,28049000700,28,049,000700,44.42,35.22403982930299,37283.0,92.25302061122956,5.771195097037793,10.511882998171847,5628,False,0.3522403982930299,0.8753791136661989,0.9225302061122956,0.057711950970377936,0.10511882998171847,0.3522403982930299
Jackson,MS,28049000800,28,049,000800,48.96,40.1934044135879,29517.0,96.2310934787999,9.475032010243279,16.914893617021278,4033,False,0.40193404413587897,0.9073378298854737,0.962310934787999,0.09475032010243278,0.1691489361702128,0.40193404413587897
Jackson,MS,28049000900,28,049,000900,50.66,38.41229193341869,23850.0,98.86435331230284,17.790697674418603,17.38712776176753,1585,False,0.3841229193341869,0.930658721569047,0.9886435331230284,0.177906976744186,0.1738712776176753,0.3841229193341869
Jackson,MS,28049001000,28,049,001000,51.11,32.793807178043636,32200.0,96.38888888888889,30.07246376811594,25.0,1440,False,0.3279380717804364,0.8962967230587529,0.9638888888888889,0.3007246376811594,0.25,0.3279380717804364
Jackson,MS,28049001100,28,049,001100,48.65,31.33826496301278,22500.0,92.89827255278311,27.70780856423174,14.989293361884368,1563,False,0.3133826496301278,0.9362142542623282,0.9289827255278311,0.2770780856423174,0.14989293361884368,0.3133826496301278
